Trip,Date,Site,Habitat,Zone,occurances,length,width,depth,,,
1,3/14/22,Bachelor,beach,low,3,0.92,0.11,0.04,,,
1,3/14/22,Bachelor,beach,low,0,0.56,0.09,0.04,,,
1,3/14/22,Tender,beach,high,2,0.88,0.09,0.05,,,
1,3/14/22,Tender,beach,low,0,0.62,0.06,0.04,,,
1,3/15/22,Cissy,beach,high,8,1.28,0.31,0.04,,,
1,3/15/22,Cissy,beach,high,0,0.57,0.04,0.03,,,
1,3/15/22,Cissy,beach,high,0,0.74,0.1,0.03,,,
1,3/15/22,Cissy,beach,low,0,0.46,0.1,0.02,,,
1,3/15/22,Cissy,beach,low,0,0.74,0.13,0.02,,,
1,3/15/22,Cissy,beach,low,0,0.57,0.11,0.02,,,
1,3/15/22,Cissy,beach,low,0,0.99,0.15,0.04,,,
1,3/15/22,Cissy,beach,low,0,0.39,0.07,0.01,,,
1,3/15/22,Artist ,beach,low,2,0.83,0.07,0.02,,,
1,3/15/22,Artist ,beach,high,0,0.82,0.11,0.03,,,
1,3/15/22,Redeye,rocky,high,5,0.3,0.04,0.03,,,
1,3/15/22,Redeye,rocky,high,0,0.25,0.01,0.04,,,
1,3/15/22,Redeye,rocky,high,0,0.82,0.14,0.04,,,
1,3/15/22,Redeye,rocky,high,0,0.55,0.02,0.02,,,
1,3/15/22,Redeye,rocky,high,0,0.5,0.07,0.02,,,
1,3/14/22,Cosign,rocky,na,0,0,0,0,,,
1,3/15/22,Tranquility ,beach,na,0,0,0,0,,,
4,12/7/22,Bachelor,beach,na,1,0.52,0.06,0.01,,,
4,12/7/22,Cosign,rocky,na,0,0,0,0,,,
4,12/6/22,Redeye,rocky,na,0,0,0,0,,,
4,12/6/22,Artist ,beach,na,0,0,0,0,,,
4,12/6/22,Tranquility ,beach,na,0,0,0,0,,,
4,12/6/22,Cissy,beach,na,0,0,0,0,,,
4,12/6/22,Tender,beach,na,3,0.49,0.01,0.01,,,
4,12/6/22,Tender,beach,na,0,0.36,0.04,0.01,,,
4,12/6/22,Tender,beach,na,0,0.27,0.02,0.01,,, 
2,5/10/22,Tender,beach,high,2,0.09,0.01,0.01,,,
2,5/10/22,Artist ,beach,na,0,0,0,0,,,
2,5/10/22,Tranquility ,beach,na,0,0,0,0,,,
2,5/10/22,Tender,beach,low,0,0.07,0.01,0.01,,,
2,5/10/22,Redeye,rocky,high,2,0.43,0.12,0.01,,,
2,5/10/22,Redeye,rocky,low,0,0.29,0.1,0.01,,,
2,5/11/22,Cissy,beach,low,3,0.75,0.07,0.01,,,
2,5/12/22,Cissy,beach,low,0,0.2,0.04,0.01,,,
2,5/13/22,Cissy,beach,low,0,0.2,0.04,0.01,,,
3,9/14/22,Bachelor,beach,na,0,0,0,0,,,
3,9/14/22,Cosign,rocky,na,0,0,0,0,,,
3,9/14/22,Redeye,rocky,na,0,0,0,0,,,
3,9/13/22,Artist ,beach,na,0,0,0,0,,,
3,9/13/22,Tender,beach,na,0,0,0,0,,,
3,9/13/22,Tranquility ,beach,na,0,0,0,0,,,
3,9/13/22,Cissy,beach,na,0,0,0,0,,,